課程代碼,課程星期,開始節次,結束節次
108,二,2,4
125,四,6,8
218,三,6,8
268,三,6,8
307,三,6,8
376,五,6,8
1272,一,8,9
1273,四,8,9
1274,一,3,4
1275,二,8,9
1275,五,2,5
1277,三,2,4
1278,四,6,7
1279,一,6,7
1279,三,8,8
1280,一,10,10
1280,三,9,10
1281,二,1,1
1281,三,6,7
1282,二,2,4
1283,一,8,9
1284,二,8,9
1285,一,3,4
1287,二,8,9
1287,五,2,5
1288,三,2,4
1289,四,6,7
1290,一,6,7
1290,三,8,8
1291,一,10,10
1291,三,9,10
1292,二,1,1
1292,三,6,7
1293,二,2,4
1294,一,8,9
1295,一,6,7
1296,三,3,4
1297,一,3,4
1297,二,1,4
1299,二,8,10
1300,四,8,9
1301,三,6,7
1301,四,6,7
1302,三,7,8
1302,四,10,10
1303,三,9,10
1303,四,1,1
1304,四,2,4
1305,一,11,14
1305,三,6,7
1307,二,9,9
1308,一,8,9
1308,三,4,4
1309,一,6,7
1309,二,3,3
1310,一,3,4
1310,二,4,4
1311,二,9,9
1312,一,3,4
1312,三,4,4
1313,一,8,9
1313,二,3,3
1314,一,6,7
1314,二,4,4
1315,二,9,9
1316,一,6,7
1316,三,3,3
1317,一,3,4
1317,二,4,4
1318,一,8,9
1318,二,3,3
1319,二,9,9
1320,一,3,4
1320,三,3,3
1321,一,8,9
1321,五,6,6
1322,一,6,7
1322,五,2,2
1323,三,6,8
1324,三,1,3
1325,二,6,7
1326,三,3,3
1327,三,4,4
1328,二,6,8
1329,一,11,13
1330,三,8,10
1331,二,2,2
1332,二,6,7
1333,四,9,10
1334,五,6,7
1335,四,6,7
1336,二,8,3
1337,二,6,7
1339,三,6,7
1340,二,8,7
1342,二,6,6
1343,二,7,8
1345,二,6,9
1346,三,6,8
1348,一,2,4
1349,五,2,4
1350,五,8,10
1351,一,6,8
1352,一,6,8
1353,四,2,4
1354,四,6,6
1354,五,8,9
1356,一,2,4
1357,四,11,13
1358,二,9,10
1358,三,10,10
1359,一,11,13
1360,四,6,8
1361,一,8,9
1362,一,11,13
1363,五,11,13
1365,四,6,7
1366,二,11,13
