31,建築設計(四),3,必修,建築專業二乙,"(二)01-04 忠516(建製圖室) (二)06-09 忠516(建製圖室) 楊子賢,杜俊賢,王子熙,周郁森,陳琬婷,林衍良,謝伯昌,陳文亮,陳鈺雯,王志仁,Lorena Alessio,蘇懋彬,陳俐廷,張維元",150,144,"楊子賢,杜俊賢,王子熙,周郁森,陳琬婷,林衍良,謝伯昌,陳文亮,陳鈺雯,王志仁,Lorena Alessio,蘇懋彬,陳俐廷,張維元"
32,台灣建築史,2,選修,建築專業二甲,(四)09-10 忠B01 周郁森,100,100,周郁森
32,台灣建築史,2,選修,建築專業二乙,(四)09-10 忠B01 周郁森,100,100,周郁森
33,住宅計劃,2,選修,建築專業二甲,(一)06-07 忠305 陳彥伯,100,79,陳彥伯
33,住宅計劃,2,選修,建築專業二乙,(一)06-07 忠305 陳彥伯,100,79,陳彥伯
34,室內設計風格,2,選修,建築專業二甲,"(三)06-07 忠B01 陳文亮,Lorena Alessio",70,50,"陳文亮,Lorena Alessio"
34,室內設計風格,2,選修,建築專業二乙,"(三)06-07 忠B01 陳文亮,Lorena Alessio",70,50,"陳文亮,Lorena Alessio"
35,景觀概論,2,選修,建築專業二甲,(五)06-07 忠203 洪詩涵,60,66,洪詩涵
35,景觀概論,2,選修,建築專業二乙,(五)06-07 忠203 洪詩涵,60,66,洪詩涵
36,電腦輔助設計(二),2,選修,建築專業二甲,(四)03-04 忠611(電腦實習室) 宋非凡,60,48,宋非凡
36,電腦輔助設計(二),2,選修,建築專業二乙,(四)03-04 忠611(電腦實習室) 宋非凡,60,48,宋非凡
37,環境生態學,2,選修,建築專業二甲,(一)03-04 忠501 張莉欣,70,64,張莉欣
37,環境生態學,2,選修,建築專業二乙,(一)03-04 忠501 張莉欣,70,64,張莉欣
38,大學社會責任專題實踐(二),2,選修,建築專業二甲,"(五)03-04 忠106 林幸長,謝銘峯",60,55,"林幸長,謝銘峯"
38,大學社會責任專題實踐(二),2,選修,建築專業二乙,"(五)03-04 忠106 林幸長,謝銘峯",60,55,"林幸長,謝銘峯"
39,水電空調設備,2,必修,室內設計三,(四)08-09 忠302 林葳,30,31,林葳
40,室內設計(二),3,必修,室內設計三,"(一)01-04 忠502 (一)06-09 忠502 林葳,呂耀中,劉守書",60,20,"林葳,呂耀中,劉守書"
41,室內裝修法規,2,必修,室內設計三,(二)01-02 忠501 方怡仁,60,20,方怡仁
42,室內設計施工圖,3,必修,室內設計三,(四)02-04 忠301 何平,45,28,何平
43,照明設計,2,必修,室內設計三,(二)06-07 忠107 趙又嬋,30,28,趙又嬋
44,空間行為與感知研究,2,選修,室內設計三,"(三)03-04 忠107 李英弘,林葳,林衍良",30,27,"李英弘,林葳,林衍良"
45,視覺與家具設計,2,選修,室內設計三,(三)08-09 忠501 葉欲揚,60,52,葉欲揚
